dir,object,section,size_hex,size_dec
ex5,mpcore_timer.o,.ARM.attributes,0x00000033,51
ex5,core_kernel_impl.o,.text,0x000004f4,1268
ex5,core_kernel_impl.o,.data,0x00000000,0
ex5,core_kernel_impl.o,.bss,0x00004010,16400
ex5,core_kernel_impl.o,.rodata.str1.4,0x00000301,769
ex5,core_kernel_impl.o,.rodata,0x0000003c,60
ex5,core_kernel_impl.o,.debug_info,0x00001684,5764
ex5,core_kernel_impl.o,.debug_abbrev,0x000004c5,1221
ex5,core_kernel_impl.o,.debug_loc,0x00000af7,2807
ex5,core_kernel_impl.o,.debug_aranges,0x00000020,32
ex5,core_kernel_impl.o,.debug_ranges,0x00000128,296
ex5,core_kernel_impl.o,.debug_line,0x000007e9,2025
ex5,core_kernel_impl.o,.debug_str,0x000009df,2527
ex5,core_kernel_impl.o,.comment,0x00000034,52
ex5,core_kernel_impl.o,.debug_frame,0x000000fc,252
ex5,core_kernel_impl.o,.ARM.attributes,0x00000033,51
ex5,arm.o,.text,0x000001b8,440
ex5,arm.o,.data,0x00000000,0
ex5,arm.o,.bss,0x00000000,0
ex5,arm.o,.debug_info,0x000004e2,1250
ex5,arm.o,.debug_abbrev,0x00000148,328
ex5,arm.o,.debug_loc,0x000003be,958
ex5,arm.o,.debug_aranges,0x00000020,32
ex5,arm.o,.debug_ranges,0x00000018,24
ex5,arm.o,.debug_line,0x000003bd,957
ex5,arm.o,.debug_str,0x000002c9,713
ex5,arm.o,.comment,0x00000034,52
ex5,arm.o,.debug_frame,0x000000a0,160
ex5,arm.o,.ARM.attributes,0x00000033,51
ex5,startup.o,.text,0x000003a8,936
ex5,startup.o,.data,0x00000000,0
ex5,startup.o,.bss,0x0000000c,12
ex5,startup.o,.rodata.str1.4,0x0000003a,58
ex5,startup.o,.debug_info,0x000011e9,4585
ex5,startup.o,.debug_abbrev,0x000004bd,1213
ex5,startup.o,.debug_loc,0x0000060c,1548
ex5,startup.o,.debug_aranges,0x00000020,32
ex5,startup.o,.debug_ranges,0x000001a0,416
ex5,startup.o,.debug_line,0x000007fe,2046
ex5,startup.o,.debug_str,0x000008c5,2245
ex5,startup.o,.comment,0x00000034,52
ex5,startup.o,.debug_frame,0x000000d4,212
ex5,startup.o,.ARM.attributes,0x00000033,51
ex5,task.o,.text,0x000009c8,2504
ex5,task.o,.data,0x00000000,0
ex5,task.o,.bss,0x00000000,0
ex5,task.o,.rodata.str1.4,0x0000002f,47
ex5,task.o,.debug_info,0x0000268b,9867
ex5,task.o,.debug_abbrev,0x000004fe,1278
ex5,task.o,.debug_loc,0x0000199c,6556
ex5,task.o,.debug_aranges,0x00000020,32
ex5,task.o,.debug_ranges,0x00000468,1128
ex5,task.o,.debug_line,0x00001212,4626
ex5,task.o,.debug_str,0x00000b6d,2925
ex5,task.o,.comment,0x00000034,52
ex5,task.o,.debug_frame,0x0000015c,348
