dir,section,size_hex,size_dec,addr_hex
ex5,.text,0x30eac,200364,0x100000
ex5,.rodata,0xf184,61828,0x130eac
ex5,.ARM.exidx,0x8,8,0x140030
ex5,.data,0x40,64,0x140038
ex5,.bss,0x10e38,69176,0x140078
ex5,.comment,0x67,103,0x0
ex5,.ARM.attributes,0x35,53,0x0
ex5,.debug_aranges,0x1b30,6960,0x0
ex5,.debug_info,0x4a7bf,305087,0x0
ex5,.debug_abbrev,0x8045,32837,0x0
ex5,.debug_line,0x2fe39,196153,0x0
ex5,.debug_frame,0x6230,25136,0x0
ex5,.debug_str,0x43bcd,277453,0x0
ex5,.debug_loc,0x11fef,73711,0x0
ex5,.debug_ranges,0x11fd8,73688,0x0
ex5,Total,0x142e7d,1322621,
