dir,object,text_dec,rodata_dec,data_dec,bss_dec,other_dec,total_dec,text_hex,rodata_hex,data_hex,bss_hex,other_hex,total_hex
ex5,mpcore_timer.o,144,0,0,0,3625,3769,0x90,0x0,0x0,0x0,0xe29,0xeb9
ex5,mutex.o,3440,0,0,0,33680,37120,0xd70,0x0,0x0,0x0,0x8390,0x9100
dir,object,text_dec,rodata_dec,data_dec,bss_dec,other_dec,total_dec,text_hex,rodata_hex,data_hex,bss_hex,other_hex,total_hex
ex5,pl310.o,300,0,0,0,7950,8250,0x12c,0x0,0x0,0x0,0x1f0e,0x203a
ex5,pridataq.o,4276,0,0,0,43765,48041,0x10b4,0x0,0x0,0x0,0xaaf5,0xbba9
ex5,semaphore.o,2172,0,0,0,27001,29173,0x87c,0x0,0x0,0x0,0x6979,0x71f5
ex5,spin_lock.o,792,0,0,0,14647,15439,0x318,0x0,0x0,0x0,0x3937,0x3c4f
ex5,startup.o,936,0,0,12,12458,13406,0x3a8,0x0,0x0,0xc,0x30aa,0x345e
ex5,sys_manage.o,2896,0,0,0,39133,42029,0xb50,0x0,0x0,0x0,0x98dd,0xa42d
ex5,target_kernel_impl.o,128,4,64,0,4516,4712,0x80,0x4,0x40,0x0,0x11a4,0x1268
ex5,task.o,2504,0,0,0,26910,29414,0x9c8,0x0,0x0,0x0,0x691e,0x72e6
ex5,task_manage.o,3064,0,0,0,32306,35370,0xbf8,0x0,0x0,0x0,0x7e32,0x8a2a
ex5,task_refer.o,1040,0,0,0,12010,13050,0x410,0x0,0x0,0x0,0x2eea,0x32fa
ex5,task_sync.o,2864,0,0,0,32317,35181,0xb30,0x0,0x0,0x0,0x7e3d,0x896d
ex5,task_term.o,1604,0,0,0,22722,24326,0x644,0x0,0x0,0x0,0x58c2,0x5f06
ex5,taskhook.o,0,0,0,12,4760,4772,0x0,0x0,0x0,0xc,0x1298,0x12a4
ex5,time_event.o,2804,0,0,28,29180,32012,0xaf4,0x0,0x0,0x1c,0x71fc,0x7d0c
ex5,time_manage.o,912,0,0,0,12446,13358,0x390,0x0,0x0,0x0,0x309e,0x342e
ex5,wait.o,1616,0,0,0,19704,21320,0x650,0x0,0x0,0x0,0x4cf8,0x5348
