dir,section,size_hex,size_dec,addr_hex
ex1,.text,0x30c4c,199756,0x100000
ex1,.rodata,0xf024,61476,0x130c4c
ex1,.ARM.exidx,0x8,8,0x13fc70
ex1,.data,0x40,64,0x13fc78
ex1,.bss,0xf078,61560,0x13fcb8
ex1,.comment,0x67,103,0x0
ex1,.ARM.attributes,0x35,53,0x0
ex1,Total,0x140af1,1313521,
ex2,.text,0x30ce4,199908,0x100000
ex2,.rodata,0xf07c,61564,0x130ce4
ex2,.ARM.exidx,0x8,8,0x13fd60
ex2,.data,0x40,64,0x13fd68
ex2,.bss,0xf7e8,63464,0x13fda8
ex2,.comment,0x67,103,0x0
ex2,.ARM.attributes,0x35,53,0x0
ex2,Total,0x1413d6,1315798,
ex3,.text,0x30d7c,200060,0x100000
ex3,.rodata,0xf0d4,61652,0x130d7c
ex3,.ARM.exidx,0x8,8,0x13fe50
ex3,.data,0x40,64,0x13fe58
ex3,.bss,0xff58,65368,0x13fe98
ex3,.comment,0x67,103,0x0
ex3,.ARM.attributes,0x35,53,0x0
ex3,Total,0x141cb8,1318072,
ex4,.text,0x30e14,200212,0x100000
ex4,.rodata,0xf12c,61740,0x130e14
ex4,.ARM.exidx,0x8,8,0x13ff40
ex4,.data,0x40,64,0x13ff48
ex4,.bss,0x106c8,67272,0x13ff88
ex4,.comment,0x67,103,0x0
ex4,.ARM.attributes,0x35,53,0x0
ex4,Total,0x14259a,1320346,
ex5,.text,0x30eac,200364,0x100000
ex5,.rodata,0xf184,61828,0x130eac
ex5,.ARM.exidx,0x8,8,0x140030
ex5,.data,0x40,64,0x140038
ex5,.bss,0x10e38,69176,0x140078
ex5,.comment,0x67,103,0x0
ex5,.ARM.attributes,0x35,53,0x0
ex5,Total,0x142e7d,1322621,
