dir,section,size_hex,size_dec,addr_hex
ex4,.text,0x30e14,200212,0x100000
ex4,.rodata,0xf12c,61740,0x130e14
ex4,.ARM.exidx,0x8,8,0x13ff40
ex4,.data,0x40,64,0x13ff48
ex4,.bss,0x106c8,67272,0x13ff88
ex4,.comment,0x67,103,0x0
ex4,.ARM.attributes,0x35,53,0x0
ex4,.debug_aranges,0x1b30,6960,0x0
ex4,.debug_info,0x4a788,305032,0x0
ex4,.debug_abbrev,0x8045,32837,0x0
ex4,.debug_line,0x2fe39,196153,0x0
ex4,.debug_frame,0x6230,25136,0x0
ex4,.debug_str,0x43b81,277377,0x0
ex4,.debug_loc,0x11fef,73711,0x0
ex4,.debug_ranges,0x11fd8,73688,0x0
ex4,Total,0x14259a,1320346,
