dir,section,size_hex,size_dec,addr_hex
ex3,.text,0x8df8,36344,0x100000
ex3,.rodata,0xf40,3904,0x108df8
ex3,.ARM.exidx,0x8,8,0x109d38
ex3,.data,0x40,64,0x109d40
ex3,.bss,0xe070,57456,0x109d80
ex3,.comment,0x67,103,0x0
ex3,.ARM.attributes,0x35,53,0x0
ex3,.debug_aranges,0x728,1832,0x0
ex3,.debug_info,0x25d28,154920,0x0
ex3,.debug_abbrev,0x6ba0,27552,0x0
ex3,.debug_line,0x122dc,74460,0x0
ex3,.debug_frame,0x1830,6192,0x0
ex3,.debug_str,0x4c08,19464,0x0
ex3,.debug_loc,0x11fed,73709,0x0
ex3,.debug_ranges,0x3c70,15472,0x0
ex3,Total,0x731ed,471533,
